,Facility_City,Facility_State,Procedure_Heart_Attack_Cost,Procedure_Heart_Failure_Cost,Rating_Overall,Procedure_Pneumonia_Quality,Procedure_Pneumonia_Cost,Rating_Mortality,Rating_Safety,Rating_Readmission,Rating_Experience,Rating_Effectiveness,Rating_Timeliness,Procedure_Pneumonia_Value,Procedure_Heart_Failure_Value
3193,Star Lake,NY,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3194,Starke,FL,0.0,15788.0,2.0,2.0,15411.0,1.0,-1.0,0.0,0.0,1.0,1.0,1.0,2.0
3195,Starkville,MS,0.0,16082.0,3.0,2.0,16724.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0
3196,State College,PA,24122.0,16186.0,5.0,2.0,18688.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0
3197,Staten Island,NY,22712.5,17469.5,1.0,2.0,19092.5,1.0,0.0,0.0,0.0,0.5,0.0,2.5,2.0
3198,Statesboro,GA,23998.0,14790.0,2.0,1.0,16833.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0
3199,Statesville,NC,24182.5,16470.5,3.0,1.5,16390.0,1.0,2.0,1.0,0.0,1.5,1.0,2.0,2.0
3200,Staunton,IL,0.0,17672.0,-1.0,2.0,17807.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,2.0,2.0
3201,Stayton,OR,0.0,0.0,3.0,2.0,14939.0,-1.0,-1.0,1.0,1.0,1.0,2.0,1.0,-1.0
3202,Steamboat Springs,CO,0.0,15659.0,4.0,2.0,14170.0,-1.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0
3203,Stephenville,TX,22193.0,15488.0,4.0,2.0,16688.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,2.0
3204,Sterling,CO,22331.0,15021.0,4.0,2.0,15773.0,1.0,-1.0,2.0,2.0,1.0,2.0,2.0,2.0
3205,Sterling,IL,25889.0,16126.0,4.0,2.0,16041.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0
3206,Steubenville,OH,25515.0,19831.0,3.0,2.0,19949.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,3.0
3207,Stevens Point,WI,22286.0,15329.0,5.0,2.0,17434.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
3208,Stigler,OK,0.0,15445.0,3.0,2.0,18200.0,1.0,-1.0,2.0,-1.0,1.0,1.0,2.0,2.0
